archivo,hoja,anio,mes,bloque,n_origenes,n_destinos,total_viajes,tipo_fuente
0. Matrices Biotren mar_2026.xlsx,Abril 2025,2025,4,Total Mes Tarjetas,25,25,1006308.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Mayo 2025,2025,5,Total Mes Tarjetas,25,25,967640.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Junio 2025,2025,6,Total Mes Tarjetas,25,25,918832.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Julio 2025,2025,7,Total Mes Tarjetas,25,25,819728.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Agosto 2025,2025,8,Total Mes Tarjetas,25,25,977491.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Septiembre 2025,2025,9,Total Mes Tarjetas,25,25,927647.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Octubre 2025,2025,10,Total Mes Tarjetas,25,25,1009731.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Noviembre 2025,2025,11,Total Mes Tarjetas,25,25,936393.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Diciembre 2025,2025,12,Total Mes Tarjetas,25,25,901708.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Enero 2026,2026,1,Total Mes Tarjetas,25,25,780563.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Febrero 2026,2026,2,Total Mes Tarjetas,25,25,745461.0,respaldo_marzo
0. Matrices Biotren mar_2026.xlsx,Marzo 2026,2026,3,Total Mes Tarjetas,25,25,1168564.0,respaldo_marzo
0. Matrices Biotren abr_2026.xlsx,Ene 2023,2023,1,Total Mes Tarjetas,26,26,522252.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Feb 2023,2023,2,Total Mes Tarjetas,26,26,405580.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Mar 2023,2023,3,Total Mes Tarjetas,25,25,797614.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Abr 2023,2023,4,Total Mes Tarjetas,25,25,802204.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,May 2023,2023,5,Total Mes Tarjetas,25,25,989606.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Jun 2023,2023,6,Total Mes Tarjetas,25,25,854136.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Jul 2023,2023,7,Total Mes Tarjetas,25,25,813553.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Ago 2023,2023,8,Total Mes Tarjetas,25,25,904875.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Sep 2023,2023,9,Total Mes Tarjetas,25,25,734893.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Oct 2023,2023,10,Total Mes Tarjetas,25,25,908085.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Nov 2023,2023,11,Total Mes Tarjetas,25,25,966687.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Dic 2023,2023,12,Total Mes Tarjetas,25,25,875234.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Ene 2024,2024,1,Total Mes Tarjetas,25,25,795205.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Feb 2024,2024,2,Total Mes Tarjetas,25,25,782790.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Mar 2024,2024,3,Total Mes Tarjetas,25,25,1107393.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Abr 2024,2024,4,Total Mes Tarjetas,25,25,1165612.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,May 2024,2024,5,Total Mes Tarjetas,25,25,1063539.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Jun 2024,2024,6,Total Mes Tarjetas,25,25,724618.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Jul 2024,2024,7,Total Mes Tarjetas,25,25,978245.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Agos 2024,2024,8,Total Mes Tarjetas,25,25,931082.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Sept 2024,2024,9,Total Mes Tarjetas,25,25,913025.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Oct 2024,2024,10,Total Mes Tarjetas,25,25,1140394.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Nov 2024,2024,11,Total Mes Tarjetas,25,25,1064455.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Dic 2024,2024,12,Total Mes Tarjetas,25,25,985228.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Ene 2025,2025,1,Total Mes Tarjetas,25,25,894416.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Feb 2025,2025,2,Total Mes Tarjetas,25,25,734104.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Mar 2025,2025,3,Total Mes Tarjetas,25,25,1097383.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Abril 2025,2025,4,Total Mes Tarjetas,25,25,1006308.0,respaldo_abril
